source_index,original,augmented,food,service,place,cost
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","máy pha chế không có hộp cách âm nên mỗi lần pha rất ồn, không hợp với những ai cần không gian yên tĩnh để tập trung làm việc. nhạc mở theo sở thích của nhân viên nên quán không có phong cách riêng. nhân viên nói chuyện khá vô tư, thỉnh thoảng xen vài câu dm duyên dáng. bàn ghế ngồi không thoải mái, có cái còn bị lung lay. menu không có gì nổi bật, giá lại còn nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd, mình cho hai sao vì chú bảo vệ khá thân thiện!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","máy móc pha chế không được cách âm nên mỗi lần sử dụng rất ồn ào, không phù hợp với người cần sự yên tĩnh để làm việc. nhạc trong quán mở theo gu của nhân viên nên thiếu phong cách riêng. nhân viên nói chuyện khá hồn nhiên, đôi khi chen thêm vài câu dm khá duyên. bàn ghế ngồi không được thoải mái, có chiếc còn bấp bênh. menu bình thường, giá còn cao hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd, chấm hai sao vì chú bảo vệ thân thiện!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","máy pha chế không có hộp chống ồn nên lúc pha nghe rất ầm, không hợp cho ai muốn tìm chỗ yên tĩnh để làm việc. nhạc bật theo sở thích nhân viên nên quán không có nét riêng. nhân viên trò chuyện khá tự nhiên, có lúc thêm vài câu dm nghe cũng duyên. bàn ghế ngồi không thoải mái lắm, có cái còn hơi lung lay. menu không đặc biệt, giá còn cao hơn the coffee house, cộng,. cà phê sữa đá 35 vnd, cho hai sao vì chú bảo vệ dễ thương!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","vì máy pha chế không có hộp cách âm nên mỗi lần pha rất ồn, ai cần không gian yên tĩnh để tập trung làm việc chắc không hợp. nhạc trong quán mở theo gu nhân viên nên không thấy phong cách riêng. nhân viên nói chuyện khá hồn nhiên, thỉnh thoảng có vài câu dm duyên duyên. bàn ghế ngồi không thoải mái, có cái còn bị lắc. menu bình thường, giá lại nhỉnh hơn the coffee house, cộng,. cà phê sữa đá 35 vnd, hai sao vì chú bảo vệ thân thiện!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","máy pha chế thiếu hộp cách âm nên lúc hoạt động gây ồn khá nhiều, không phù hợp với người cần sự yên tĩnh để làm việc. nhạc được mở theo gu nhân viên nên quán thiếu phong cách riêng. nhân viên nói chuyện rất tự nhiên, kèm vài câu dm khá duyên. bàn ghế ngồi không thoải mái, có chiếc còn bấp bênh. menu không có gì nổi bật, giá thậm chí cao hơn the coffee house, cộng,. cà phê sữa đá 35 vnd, cho hai sao vì chú bảo vệ thân thiện!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","máy móc pha chế không được cách âm nên khi pha nghe rất ồn, ai cần không gian yên tĩnh để làm việc chắc khó chịu. nhạc mở theo sở thích nhân viên nên quán không có phong cách riêng. nhân viên nói chuyện khá vô tư, đôi lúc xen vài câu dm nghe cũng duyên. bàn ghế ngồi không thoải mái, có cái còn lung lay. menu bình thường, giá còn cao hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd, mình chấm hai sao vì chú bảo vệ dễ mến!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","do máy pha chế không có hộp chống ồn nên mỗi lần pha rất ầm ĩ, không hợp với người cần chỗ yên tĩnh để làm việc. nhạc trong quán bật theo gu của nhân viên nên không thấy phong cách riêng. nhân viên nói chuyện hồn nhiên, có khi thêm vài câu dm khá duyên. bàn ghế ngồi không thoải mái, có cái còn bị bấp bênh. menu không có gì đặc sắc, giá lại nhỉnh hơn the coffee house, cộng,. cà phê sữa đá 35 vnd, hai sao vì chú bảo vệ thân thiện!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","máy pha chế không có hộp cách âm nên lúc hoạt động gây ồn khá lớn, không phù hợp với ai cần không gian yên tĩnh để làm việc. nhạc trong quán chỉnh theo gu nhân viên nên thiếu nét riêng. nhân viên nói chuyện rất tự nhiên, thỉnh thoảng kèm vài câu dm duyên dáng. bàn ghế ngồi không được thoải mái, có cái còn lung lay. menu không đặc biệt, giá còn cao hơn the coffee house, cộng,. cà phê sữa đá 35 vnd, cho hai sao vì chú bảo vệ thân thiện!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","vì máy pha chế không được cách âm nên mỗi lần pha nghe rất ồn, không thích hợp cho người cần sự yên tĩnh để tập trung làm việc. nhạc bật theo sở thích của nhân viên nên quán không có phong cách riêng. nhân viên nói chuyện khá vô tư, kèm vài câu dm duyên duyên. bàn ghế không thoải mái khi ngồi, có chiếc còn bấp bênh. menu bình thường, giá lại nhỉnh hơn the coffee house, cộng,. cà phê sữa đá 35 vnd, hai sao vì chú bảo vệ thân thiện!",0,2,1,1
0,"máy móc pha chế không có hộp cách âm, mỗi lần pha chế rất ồn ào không phù hợp cho ai cần sự yên tĩnh để tập trung làm việc. nhạc chỉnh theo gu của nhân viên không có phong cách riêng của quán. nhân viên nói chuyện rất hồn nhiên kèm vài câu dm duyên dáng. bàn ghế không có độ thoải mái cho người ngồi, có cái còn bị bấp bên. menu không có gì đặc biệt, giá có phần nhỉnh hơn cả the coffee house, cộng,. cà phê sữa đá 35 vnd cho hai sao vì chú bảo vê thân thiện!","máy pha chế không có hộp chống ồn nên mỗi lần pha chế rất ầm, không phù hợp với người muốn tìm chỗ yên tĩnh để làm việc. nhạc mở theo gu của nhân viên nên quán thiếu phong cách riêng. nhân viên nói chuyện khá hồn nhiên, thỉnh thoảng xen vài câu dm duyên. bàn ghế ngồi không thoải mái, có cái còn lắc lư. menu không nổi bật, giá còn cao hơn the coffee house, cộng,. cà phê sữa đá 35 vnd, mình cho hai sao vì chú bảo vệ thân thiện!",0,2,1,1
